Text Content,Tag,Classes,xind,cat,style,ID
 ,p,"['cat-catp', 'line-11', 'xind-0']",0,catp,,
Bachelor of Science in Cognitive Science,h2,"['cat-cat2', 'line-12', 'xind-1']",1,cat2,margin-left:15px,bachelor-of-science-in-cognitive-science
Degree Requirements (120 semester credit hours)1,p,"['cat-degh', 'line-13', 'xind-2']",2,degh,margin-left:30px,
View an Example of Degree Requirements by Semester,p,"['cat-degh', 'line-14', 'xind-2']",2,degh,margin-left:30px,
Faculty,h3,"['cat-cat3', 'line-15', 'xind-2']",2,cat3,margin-left:30px,faculty
FACG> bbs-cognitive-science-bs,p,"['cat-facgg', 'xind-3', 'hidden']",3,facgg,margin-left:45px,
"Professors: Hervé Abdi @herve, Peter F. Assmann @assmann, Sandra B. Chapman @schapman, W. Jay Dowling @jdowling, Gregory Dussor @gxd141130, Julia Evans @jle130030, Francesca Filbey @fxf013100, Richard M. Golden @golden, John Hart Jr. @jxh057100, William F. Katz @wkatz, Michael P. Kilgard @kilgard, Daniel Krawczyk @dck061000, Aage R. Møller @amoller, Alice J. O'Toole @otoole, Denise C. Park @dcp071000, Theodore Price @tjp140130, Robert L. Rennaker II @rlr091000, Michael D. Rugg @mdr104020, Steven Small @sls190000",p,"['cat-facg', 'line-16', 'xind-3']",3,facg,margin-left:45px,
"Associate Professors: Chandramallika Basak @cxb116130, Kristen Kennedy @kmk082000, Sven Kroener @sxk101000, Mandy J. Maguire @mjm053000, Christa McIntyre Rodriguez @cmr067000, Karen Rodrigue @kmr082000, Lucien (Tres) Thompson @tres, Gagan Wig @gsw130130",p,"['cat-facg', 'line-16', 'xind-3']",3,facg,margin-left:45px,
"Assistant Professors: Michael Burton @mdb150330, Kendra Seaman @kls190004, Catherine Thorn @cat170002",p,"['cat-facg', 'line-16', 'xind-3']",3,facg,margin-left:45px,
"Professors of Instruction: Salena Brody @smb051000, Karen Huxtable-Jester @kxh014900, Nancy Juhn @njuhn",p,"['cat-facg', 'line-16', 'xind-3']",3,facg,margin-left:45px,
"Associate Professors of Instruction: Meridith Grant @mga061000, Steven McWilliams @sxm127330, Gayle Schwark @gxs180015",p,"['cat-facg', 'line-16', 'xind-3']",3,facg,margin-left:45px,
"Assistant Professors of Instruction: Siham Raboune @sxr180071, Anna Taylor @amt180004",p,"['cat-facg', 'line-16', 'xind-3']",3,facg,margin-left:45px,
Senior Lecturer: Rukhsana Sultana @rxs170431,p,"['cat-facg', 'line-16', 'xind-3']",3,facg,margin-left:45px,
"UT Dallas Affiliated Faculty: Robert Ackerman @raa110030, Shayla C. Holub @sch052000, Heidi Kane @hsk140330, Candice M. Mills @cxm056000, Jackie Nelson @jan110030, Amy Pinkham @aep140430, Karen J. Prager @kprager, Pamela R. Rollins @rollins, John W. Santrock @santrock, Noah J. Sasson @njs092000, Melanie J. Spence @mspence, Linda M. Thibodeau @thib, Hanna K. Ulatowska @hanna, Andrea Warner-Czyz @adw052000",p,"['cat-facg', 'line-16', 'xind-3']",3,facg,margin-left:45px,
I. Core Curriculum Requirements: 42 semester credit hours2,p,"['cat-reqa', 'line-18', 'xind-2']",2,reqa,margin-left:30px,degree-requirements
Communication: 6 semester credit hours,p,"['cat-reqg', 'line-19', 'xind-3']",3,reqg,margin-left:45px,
COMM 1311 Survey of Oral and Technology-based Communication,p,"['cat-reqi', 'line-20', 'xind-4']",4,reqi,margin-left:60px,
COMM 1315 Public Speaking,p,"['cat-reqi', 'line-21', 'xind-4']",4,reqi,margin-left:60px,
RHET 1302 Rhetoric,p,"['cat-reqi', 'line-22', 'xind-4']",4,reqi,margin-left:60px,
Or select any 6 semester credit hours from Communication Core courses (see advisor),p,"['cat-reqi', 'line-23', 'xind-4']",4,reqi,margin-left:60px,
Mathematics: 3 semester credit hours,p,"['cat-reqg', 'line-24', 'xind-3']",3,reqg,margin-left:45px,
MATH 2417 Calculus I3,p,"['cat-reqi', 'line-25', 'xind-4']",4,reqi,margin-left:60px,
or MATH 2413 Differential Calculus3 (Note: MATH 2417 is recommended),p,"['cat-reqi', 'line-26', 'catreq-cont', 'xind-4']",4,reqi,margin-left:60px,
Or select any 3 semester credit hours from Mathematics Core courses (see advisor),p,"['cat-reqi', 'line-27', 'xind-4']",4,reqi,margin-left:60px,
Life and Physical Sciences: 6 semester credit hours,p,"['cat-reqg', 'line-28', 'xind-3']",3,reqg,margin-left:45px,
Select 6 semester credit hours from Life and Physical Sciences Core courses (see CGS advisor),p,"['cat-reqi', 'line-29', 'xind-4']",4,reqi,margin-left:60px,
"Language, Philosophy and Culture: 3 semester credit hours",p,"['cat-reqg', 'line-30', 'xind-3']",3,reqg,margin-left:45px,
"Select 3 semester credit hours from Language, Philosophy and Culture Core courses",p,"['cat-reqi', 'line-31', 'xind-4']",4,reqi,margin-left:60px,
Creative Arts: 3 semester credit hours,p,"['cat-reqg', 'line-32', 'xind-3']",3,reqg,margin-left:45px,
Select 3 semester credit hours from Creative Arts Core courses,p,"['cat-reqi', 'line-33', 'xind-4']",4,reqi,margin-left:60px,
American History: 6 semester credit hours,p,"['cat-reqg', 'line-34', 'xind-3']",3,reqg,margin-left:45px,
Select 6 semester credit hours from American History Core courses,p,"['cat-reqi', 'line-35', 'xind-4']",4,reqi,margin-left:60px,
Government/Political Science: 6 semester credit hours,p,"['cat-reqg', 'line-36', 'xind-3']",3,reqg,margin-left:45px,
Select 6 semester credit hours from Government/Political Science Core courses,p,"['cat-reqi', 'line-37', 'xind-4']",4,reqi,margin-left:60px,
Social and Behavioral Sciences: 3 semester credit hours,p,"['cat-reqg', 'line-38', 'xind-3']",3,reqg,margin-left:45px,
PSY 2301 Introduction to Psychology3,p,"['cat-reqi', 'line-39', 'xind-4']",4,reqi,margin-left:60px,
Or select any 3 semester credit hours from Social and Behavioral Sciences Core courses (see advisor),p,"['cat-reqi', 'line-40', 'xind-4']",4,reqi,margin-left:60px,
Component Area Option: 6 semester credit hours,p,"['cat-reqg', 'line-41', 'xind-3']",3,reqg,margin-left:45px,
MATH 2419 Calculus II3,p,"['cat-reqi', 'line-42', 'xind-4']",4,reqi,margin-left:60px,
or MATH 2414 Integral Calculus3 (Note: MATH 2419 is recommended),p,"['cat-reqi', 'line-43', 'catreq-cont', 'xind-4']",4,reqi,margin-left:60px,
CGS 2301 Cognitive Science3,p,"['cat-reqi', 'line-44', 'xind-4']",4,reqi,margin-left:60px,
Or select any 6 semester credit hours from Component Area Option Core courses (see advisor),p,"['cat-reqi', 'line-45', 'xind-4']",4,reqi,margin-left:60px,
II. Major Requirements: 48-57 semester credit hours (12 semester credit hours beyond Core Curriculum),p,"['cat-reqa', 'line-46', 'xind-2']",2,reqa,margin-left:30px,
Major Preparatory Courses,p,"['cat-reqg', 'line-47', 'xind-3']",3,reqg,margin-left:45px,
The following are required for all concentration areas: (24 semester credit hours),p,"['cat-reqi', 'line-48', 'xind-4']",4,reqi,margin-left:60px,
CGS 2301 Cognitive Science3,p,"['cat-reqi', 'line-49', 'xind-5']",5,reqi,margin-left:75px,
CS 1337 Computer Science I,p,"['cat-reqi', 'line-50', 'xind-5']",5,reqi,margin-left:75px,
MATH 2417 Calculus I3,p,"['cat-reqi', 'line-51', 'xind-5']",5,reqi,margin-left:75px,
or MATH 2413 Differential Calculus3,p,"['cat-reqi', 'line-52', 'catreq-cont', 'xind-5']",5,reqi,margin-left:75px,
MATH 2419 Calculus II3,p,"['cat-reqi', 'line-53', 'xind-5']",5,reqi,margin-left:75px,
or MATH 2414 Integral Calculus3,p,"['cat-reqi', 'line-54', 'catreq-cont', 'xind-5']",5,reqi,margin-left:75px,
MATH 2418 Linear Algebra,p,"['cat-reqi', 'line-55', 'xind-5']",5,reqi,margin-left:75px,
PSY 2301 Introduction to Psychology3,p,"['cat-reqi', 'line-56', 'xind-5']",5,reqi,margin-left:75px,
PSY 2317 Statistics for Psychology,p,"['cat-reqi', 'line-57', 'xind-5']",5,reqi,margin-left:75px,
or CS 3341 Probability and Statistics in Computer Science and Software Engineering,p,"['cat-reqi', 'line-58', 'catreq-cont', 'xind-5']",5,reqi,margin-left:75px,
Additional Preparatory Courses for AI/Computational Modeling Area (6 semester credit hours),p,"['cat-reqp', 'line-59', 'xind-4']",4,reqp,margin-left:60px,
The courses listed below are not required for all students specializing in the AI/Computational Modeling area but are prerequisites for some courses in this area.,p,"['cat-reqi', 'line-60', 'xind-5']",5,reqi,margin-left:75px,
CS 2305 Discrete Mathematics for Computing I,p,"['cat-reqi', 'line-61', 'xind-6']",6,reqi,margin-left:90px,
CS 2336 Computer Science II,p,"['cat-reqi', 'line-62', 'xind-6']",6,reqi,margin-left:90px,
Additional Preparatory Courses for Neuroscience Area (21 semester credit hours),p,"['cat-reqp', 'line-63', 'xind-4']",4,reqp,margin-left:60px,
The courses listed below are not required for all students specializing in the Neuroscience area but are prerequisites for some courses in this area.,p,"['cat-reqi', 'line-64', 'xind-5']",5,reqi,margin-left:75px,
BIOL 2111 Introduction to Modern Biology Workshop I,p,"['cat-reqi', 'line-65', 'xind-6']",6,reqi,margin-left:90px,
BIOL 2281 Introductory Biology Laboratory,p,"['cat-reqi', 'line-66', 'xind-6']",6,reqi,margin-left:90px,
BIOL 2311 Introduction to Modern Biology I3,p,"['cat-reqi', 'line-67', 'xind-6']",6,reqi,margin-left:90px,
CHEM 1111 General Chemistry Laboratory I,p,"['cat-reqi', 'line-68', 'xind-6']",6,reqi,margin-left:90px,
CHEM 1311 General Chemistry I3,p,"['cat-reqi', 'line-69', 'xind-6']",6,reqi,margin-left:90px,
CHEM 1112 General Chemistry Laboratory II,p,"['cat-reqi', 'line-70', 'xind-6']",6,reqi,margin-left:90px,
CHEM 1312 General Chemistry II,p,"['cat-reqi', 'line-71', 'xind-6']",6,reqi,margin-left:90px,
Additional Preparatory Courses for Psychology/HCI Area (9 semester credit hours),p,"['cat-reqp', 'line-72', 'xind-4']",4,reqp,margin-left:60px,
ATCM 2301 Digital Art and Design Foundations,p,"['cat-reqi', 'line-73', 'xind-5']",5,reqi,margin-left:75px,
ATCM 2335 Internet Studio I,p,"['cat-reqi', 'line-74', 'xind-5']",5,reqi,margin-left:75px,
ATCM 2310 Animation and Game Fundamentals,p,"['cat-reqi', 'line-75', 'xind-5']",5,reqi,margin-left:75px,
Major Core Courses required for all concentration areas: 12 semester credit hours,p,"['cat-reqg', 'line-76', 'xind-3']",3,reqg,margin-left:45px,
CGS 3361 Cognitive Psychology,p,"['cat-reqi', 'line-77', 'xind-4']",4,reqi,margin-left:60px,
NSC 3361 Introduction to Neuroscience,p,"['cat-reqi', 'line-78', 'xind-4']",4,reqi,margin-left:60px,
PSY 3392 Research Design and Analysis,p,"['cat-reqi', 'line-79', 'xind-4']",4,reqi,margin-left:60px,
CGS 3340 Experimental Projects in Cognitive Science,p,"['cat-reqi', 'line-80', 'xind-4']",4,reqi,margin-left:60px,
or PSY 3393 Experimental Projects in Psychology,p,"['cat-reqi', 'line-81', 'catreq-cont', 'xind-4']",4,reqi,margin-left:60px,
Major Related Courses: 24 semester credit hours,p,"['cat-reqg', 'line-82', 'xind-3']",3,reqg,margin-left:45px,
Select 4 courses each from 2 of the following 3 Concentration Areas:,p,"['cat-reqp', 'line-83', 'xind-4']",4,reqp,margin-left:60px,
Core Courses for Psychology/HCI Concentration Area,p,"['cat-reqp', 'line-84', 'xind-5']",5,reqp,margin-left:75px,
Select 12 semester credit hours from the list of courses below:,p,"['cat-reqi', 'line-85', 'xind-6']",6,reqi,margin-left:90px,
CGS 3325 Historical Perspectives on Psychology: Mind and Machines since 1600,p,"['cat-reqi', 'line-86', 'xind-7']",7,reqi,margin-left:105px,
CGS 4359 Cognitive Neuroscience,p,"['cat-reqi', 'line-87', 'xind-7']",7,reqi,margin-left:105px,
CGS 4362 Perception,p,"['cat-reqi', 'line-88', 'xind-7']",7,reqi,margin-left:105px,
CGS 4352 Human-Computer Interaction I,p,"['cat-reqi', 'line-89', 'xind-7']",7,reqi,margin-left:105px,
CGS 4353 Human-Computer Interaction II,p,"['cat-reqi', 'line-90', 'xind-7']",7,reqi,margin-left:105px,
PSY 3331 Social Psychology,p,"['cat-reqi', 'line-91', 'xind-7']",7,reqi,margin-left:105px,
PSY 4343 Abnormal Psychology,p,"['cat-reqi', 'line-92', 'xind-7']",7,reqi,margin-left:105px,
PSY 2314 Lifespan Development,p,"['cat-reqi', 'line-93', 'xind-7']",7,reqi,margin-left:105px,
PSY 3310 Child Development,p,"['cat-reqi', 'line-94', 'xind-7']",7,reqi,margin-left:105px,
PSY 3362 Cognitive Development,p,"['cat-reqi', 'line-95', 'xind-7']",7,reqi,margin-left:105px,
PSY 3339 Educational Psychology,p,"['cat-reqi', 'line-96', 'xind-7']",7,reqi,margin-left:105px,
NSC 4385 Neuropsychology,p,"['cat-reqi', 'line-97', 'xind-7']",7,reqi,margin-left:105px,
CGS 4320 Psychology of Reasoning,p,"['cat-reqi', 'line-98', 'xind-7']",7,reqi,margin-left:105px,
ATCM 3365 Game Design I,p,"['cat-reqi', 'line-99', 'xind-7']",7,reqi,margin-left:105px,
SPAU 3303 Normal Language Development,p,"['cat-reqi', 'line-100', 'xind-7']",7,reqi,margin-left:105px,
SPAU 3343 Phonetics and Phonology,p,"['cat-reqi', 'line-101', 'xind-7']",7,reqi,margin-left:105px,
Core Courses required for Neuroscience Concentration Area,p,"['cat-reqg', 'line-102', 'xind-5']",5,reqg,margin-left:75px,
Select 12 semester credit hours from the list of courses below:,p,"['cat-reqi', 'line-103', 'xind-6']",6,reqi,margin-left:90px,
NSC 4352 Cellular Neuroscience,p,"['cat-reqi', 'line-104', 'xind-7']",7,reqi,margin-left:105px,
NSC 4354 Integrative Neuroscience,p,"['cat-reqi', 'line-105', 'xind-7']",7,reqi,margin-left:105px,
NSC 4356 Neurophysiology,p,"['cat-reqi', 'line-106', 'xind-7']",7,reqi,margin-left:105px,
NSC 4366 Neuroanatomy,p,"['cat-reqi', 'line-107', 'xind-7']",7,reqi,margin-left:105px,
NSC 4363 Neuropharmacology,p,"['cat-reqi', 'line-108', 'xind-7']",7,reqi,margin-left:105px,
NSC 4367 Developmental Neurobiology,p,"['cat-reqi', 'line-109', 'xind-7']",7,reqi,margin-left:105px,
NSC 4359 Cognitive Neuroscience,p,"['cat-reqi', 'line-110', 'xind-7']",7,reqi,margin-left:105px,
NSC 4353 Neuroscience Laboratory Methods,p,"['cat-reqi', 'line-111', 'xind-7']",7,reqi,margin-left:105px,
NSC 4357 Neurobiology of Learning and Memory,p,"['cat-reqi', 'line-112', 'xind-7']",7,reqi,margin-left:105px,
NSC 4362 Molecular Neuroscience,p,"['cat-reqi', 'line-113', 'xind-7']",7,reqi,margin-left:105px,
NSC 4371 Neural Plasticity,p,"['cat-reqi', 'line-114', 'xind-7']",7,reqi,margin-left:105px,
NSC 4373 Sensory Neuroscience,p,"['cat-reqi', 'line-115', 'xind-7']",7,reqi,margin-left:105px,
NSC 4385 Neuropsychology,p,"['cat-reqi', 'line-116', 'xind-7']",7,reqi,margin-left:105px,
NSC 4351 Medical Neuroscience,p,"['cat-reqi', 'line-117', 'xind-7']",7,reqi,margin-left:105px,
NSC 4358 Neuroscience of Pain,p,"['cat-reqi', 'line-118', 'xind-7']",7,reqi,margin-left:105px,
NSC 4372 Neuroimmunology,p,"['cat-reqi', 'line-119', 'xind-7']",7,reqi,margin-left:105px,
NSC 4350 Medical Neuropathology,p,"['cat-reqi', 'line-120', 'xind-7']",7,reqi,margin-left:105px,
Core Courses required for Intelligent Systems (AI)/Computational Modeling Concentration Area,p,"['cat-reqp', 'line-121', 'xind-5']",5,reqp,margin-left:75px,
Select 12 semester credit hours from the list of courses below:,p,"['cat-reqi', 'line-122', 'xind-6']",6,reqi,margin-left:90px,
CS 3341 or SE 3341 Probability and Statistics in Computer Science and Software Engineering4,p,"['cat-reqi', 'line-123', 'xind-7']",7,reqi,margin-left:105px,
CGS 3342 Cognitive and Neural Modeling Laboratory5,p,"['cat-reqi', 'line-124', 'xind-7']",7,reqi,margin-left:105px,
CGS 4314 Intelligent Systems Analysis5,p,"['cat-reqi', 'line-125', 'xind-7']",7,reqi,margin-left:105px,
CGS 4315 Intelligent Systems Design5,p,"['cat-reqi', 'line-126', 'xind-7']",7,reqi,margin-left:105px,
CS 3345 Data Structures and Introduction to Algorithmic Analysis,p,"['cat-reqi', 'line-127', 'xind-7']",7,reqi,margin-left:105px,
CS 4365 Artificial Intelligence,p,"['cat-reqi', 'line-128', 'xind-7']",7,reqi,margin-left:105px,
CS 4375 Introduction to Machine Learning,p,"['cat-reqi', 'line-129', 'xind-7']",7,reqi,margin-left:105px,
CS 4391 Introduction to Computer Vision,p,"['cat-reqi', 'line-130', 'xind-7']",7,reqi,margin-left:105px,
CS 4395 Human Language Technologies,p,"['cat-reqi', 'line-131', 'xind-7']",7,reqi,margin-left:105px,
CS 4372 Computational Methods for Data Scientists,p,"['cat-reqi', 'line-132', 'xind-7']",7,reqi,margin-left:105px,
CGS 4352 Human-Computer Interaction I,p,"['cat-reqi', 'line-133', 'xind-7']",7,reqi,margin-left:105px,
CGS 4353 Human-Computer Interaction II,p,"['cat-reqi', 'line-134', 'xind-7']",7,reqi,margin-left:105px,
III. Elective Requirements: 21-30 semester credit hours,p,"['cat-reqa', 'line-135', 'xind-2']",2,reqa,margin-left:30px,
Free Electives: ,p,"['cat-reqp', 'line-136', 'xind-3']",3,reqp,margin-left:45px,
24 semester credit hours for Intelligent Systems (AI)/Computational Modeling Concentration Area,p,"['cat-reqi', 'line-137', 'xind-4']",4,reqi,margin-left:60px,
30 semester credit hours for the other two concentrations,p,"['cat-reqp', 'line-138', 'xind-4']",4,reqp,margin-left:60px,
"Students are encouraged to explore areas of concentration in Cognitive Science, Psychology, and Neuroscience as well as explore interests outside the field. Be aware that at least 51 semester credit hours of upper-division semester credit hours are required for graduation. In addition, advanced CGS students in good academic standing may request permission from the Cognitive Science Program Head to take graduate Applied Cognition and Neuroscience coursework (ACN prefix) to fulfill some of the elective course requirements.",p,"['cat-reqp', 'line-139', 'xind-4']",4,reqp,margin-left:60px,
Incoming freshmen must enroll and complete requirements of BBSU 1100.,p,"['cat-reqg', 'line-140', 'xind-3']",3,reqg,margin-left:45px,
 ,p,"['cat-reqi', 'line-141', 'xind-1']",1,reqi,margin-left:15px,
Fast Track Baccalaureate/Master's Degrees,h3,"['cat-cat3', 'line-142', 'xind-2']",2,cat3,margin-left:30px,fast-track-baccalaureate-master-s-degrees
"UT Dallas undergraduate students with strong academic records who intend to pursue a master's degree in Applied Cognition and Neuroscience at UT Dallas may consider an accelerated undergraduate-graduate plan of study. If accepted into the program, students may take up to 15 semester credit hours of graduate courses that may be used to complete the bachelor's degree and also to satisfy requirements for the Master's degree. Students must maintain a 3.000 grade point average and earn grades of B or better in the graduate courses taken.",p,"['cat-catp', 'line-143', 'xind-3']",3,catp,margin-left:45px,
"Students should apply for Fast Track admission in the semester they reach 90 semester credit hours. To qualify for application, undergraduate students must have completed at least 18 semester credit hours in major core courses at UT Dallas. To be eligible for Fast Track admission, students must have completed at least 90 semester credit hours toward a baccalaureate degree, completed a minimum of 36 hours of general education core curriculum classes, and meet program admission requirements. Apply to the Fast Track program through the Applied Cognition and Neuroscience Program Office. Students should consult with a graduate advisor regarding admissions criteria and plans of study at the beginning of their junior year.",p,"['cat-catp', 'line-144', 'xind-3']",3,catp,margin-left:45px,
 ,p,"['cat-catp', 'line-145', 'xind-1']",1,catp,margin-left:15px,
Minor in Cognitive Science: 18 semester credit hours,h2,"['cat-cat2', 'line-146', 'xind-1']",1,cat2,margin-left:15px,minor-in-cognitive-science-18-semester-credit-hours
"Students who are not majoring in Cognitive Science may minor in Cognitive Science by completing 18 semester credit hours. Students who take a minor will be expected to meet the normal prerequisites in courses making up the minor, and should maintain a minimum GPA of 2.000 on a 4.00 scale (C average). At least 12 of the 18 semester credit hours required by the minor in Cognitive Science must be satisfied by completing two upper-division courses from each of two different Cognitive Science specialization areas. In addition, 9 of the 18 semester credit hours required for the minor in Cognitive Science must have a Cognitive Science (CGS), Psychology (PSY), or Neuroscience (NSC) prefix and be upper-division courses. No semester credit hours may be used to satisfy both major and minor requirements; however, free elective semester credit hours or major preparatory classes may be used to satisfy the minor. At least one-third of the semester credit hours for a minor must be taken at UT Dallas.",p,"['cat-catp', 'line-148', 'xind-2']",2,catp,margin-left:30px,
,p,"['cat-catp', 'line-150', 'xind-1']",1,catp,margin-left:15px,
